FirstByte	LastByte	Type	Compressed	Extracted	Description	Modified
3C76BD	3C7817	EVENT	Yes	No	(1D3) Location Event Data	7/10/2003
3C7818	3C7867	EVENT	Yes	No	(1D4) Location Event Data	7/10/2003
3C7868	3C7BCC	EVENT	Yes	No	(1D5) Location Event Data	7/10/2003
3C7BCD	3C808B	EVENT	Yes	No	(1D6) Location Event Data	7/10/2003
3C808C	3C8163	EVENT	Yes	No	(1D7:1D8) Location Event Data	7/10/2003
3C8164	3C837A	EVENT	Yes	No	(1D9) Location Event Data	7/10/2003
3C837B	3C8644	EVENT	Yes	No	(1DA) Location Event Data	7/10/2003
3C8645	3C8789	EVENT	Yes	No	(1DB) Location Event Data	7/10/2003
3C878A	3C89F9	EVENT	Yes	No	(1DC) Location Event Data	7/10/2003
3C89FA	3C8B16	EVENT	Yes	No	(1DD) Location Event Data	7/10/2003
3C8B17	3C8C33	EVENT	Yes	No	(1DF) Location Event Data	7/10/2003
3C8C34	3C8CC4	EVENT	Yes	No	(1E0) Location Event Data	7/10/2003
3C8CC5	3C8DF8	EVENT	Yes	No	(1E1) Location Event Data	7/10/2003
3C8DF9	3C8E94	EVENT	Yes	No	(1E2) Location Event Data	7/10/2003
3C8E95	3C9061	EVENT	Yes	No	(1E3) Location Event Data	7/10/2003
3C9062	3C918B	EVENT	Yes	No	(1E4) Location Event Data	7/10/2003
3C918C	3C9202	EVENT	Yes	No	(1E5) Location Event Data	7/10/2003
3C9203	3C9252	EVENT	Yes	No	(1E6:1E9) Location Event Data	7/10/2003
3C9253	3C9876	EVENT	Yes	No	(1EA) Location Event Data	7/10/2003
3C9877	3C9AFB	EVENT	Yes	No	(1EB) Location Event Data	7/10/2003
3C9AFC	3C9CBD	EVENT	Yes	No	(1EC) Location Event Data	7/10/2003
3C9CBE	3C9E5C	EVENT	Yes	No	(1ED) Location Event Data	7/10/2003
3C9E5D	3C9F5B	EVENT	Yes	No	(1EE) Location Event Data	7/10/2003
3C9F5C	3CA0AE	EVENT	Yes	No	(1EF) Location Event Data	7/10/2003
3CA0AF	3CA218	EVENT	Yes	No	(1F0) Location Event Data	7/10/2003
3CA219	3CA34F	EVENT	Yes	No	(1F1) Location Event Data	7/10/2003
3CA350	3CA47F	EVENT	Yes	No	(1F2) Location Event Data	7/10/2003
3CA480	3CA8E4	EVENT	Yes	No	(1F3) Location Event Data	7/10/2003
3CA8E5	3CA977	EVENT	Yes	No	(1F4) Location Event Data	7/10/2003
3CA978	3CAA18	EVENT	Yes	No	(1F5) Location Event Data	7/10/2003
3CAA19	3CAB9B	EVENT	Yes	No	(1F6:1F7) Location Event Data	7/10/2003
3CAB9C	3CADB8	EVENT	Yes	No	(1F8) Location Event Data	7/10/2003
3CADB9	3CB19B	EVENT	Yes	No	(1FA) Location Event Data	7/10/2003
3CB19C	3CB3E8	EVENT	Yes	No	(1FB) Location Event Data	7/10/2003
3CB3E9	3CB598	EVENT	Yes	No	(1FC) Location Event Data	7/10/2003
3CB599	3CB67F	EVENT	Yes	No	(1FD) Location Event Data	7/10/2003
3CB680	3CB8EF	EVENT	Yes	No	(1FE:1FF) Location Event Data	7/10/2003
3CB8F0	3CBBE7	EVENT	Yes	No	(200) Location Event Data	7/10/2003
3CBBE8			No	No		7/10/2003
3CBC00	3CBF1D	PTR	No	No	"Pointers to dialogue (+3C0200, starting at 3CBF1E)"	4/29/2003
3CBF1E	3CFBCE	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
3CFBCF			No	No		4/29/2003
3CFBF0	3D01FF	PTR	No	No	"Pointers to Location Events (first at 368200, 513 packets, non-contiguous, Events 66:6E,E7:EB,140:142 are invalid)"	7/10/2003
3D0200			No	No		4/29/2003
3D9200	3D9362	EVENT	Yes	No	(008:009) Location Event Data	7/10/2003
3D9363	3D948A	EVENT	Yes	No	(00A) Location Event Data	7/10/2003
3D948B	3D9694	EVENT	Yes	No	(00B) Location Event Data	7/10/2003
3D9695	3D98AA	EVENT	Yes	No	(00C) Location Event Data	7/10/2003
3D98AB	3D99B5	EVENT	Yes	No	(00D) Location Event Data	7/10/2003
3D99B6	3D9AA7	EVENT	Yes	No	(00E) Location Event Data	7/10/2003
3D9AA8	3D9B7B	EVENT	Yes	No	(00F) Location Event Data	7/10/2003
3D9B7C	3D9C9B	EVENT	Yes	No	(010) Location Event Data	7/10/2003
3D9C9C	3D9DA5	EVENT	Yes	No	(011) Location Event Data	7/10/2003
3D9DA6	3D9EB4	EVENT	Yes	No	(012) Location Event Data	7/10/2003
3D9EB5	3DA12B	EVENT	Yes	No	(013) Location Event Data	7/10/2003
3DA12C	3DA1EA	EVENT	Yes	No	(014) Location Event Data	7/10/2003
3DA1EB			No	No		7/10/2003
3DA200	3DA9FF	TXT	No	No	"ASCII text, mostly credits information (:blink, blink:)"	5/22/2003
3DAA00			No	No		5/22/2003
3DAAA5	3DBB56	CODE	No	NA	Unknown routines	5/6/2003
3DBB57			No	No		5/6/2003
3DC200	3DD7D3	CODE	No	NA	Unknown routines	5/6/2003
3DD7D4			No	No		4/22/2003
3DDC00	3DE77B	CODE	No	NA	Unknown routines	5/6/2003
3DE77C			No	No		4/23/2003
3DEA2C	3DF48F	CODE	No	NA	Unknown routines	5/6/2003
3DF490			No	No		4/23/2003
3DFBCD	3DFC7C	???	No	No	Unknown Data (related to Locations)	7/10/2003
3DFC7D	3E01E4	???	No	No	Unknown Data (related to Locations)	7/10/2003
3E01E5	3E01FF	CODE	No	NA	Unknown routines	7/10/2003
3E0200			No	No		4/23/2003
3F0200	3F217F	GFX	No	No	Character menu portraits	5/1/2003
3F2180			No	No		5/1/2003
3F2260	3F465F	GFX	No	No	Font (2 bit plane)	5/6/2003
3F4660	3F4701	PTR	No	No	"Pointers to dialogue (+3F0200, starts at 3F4702)"	4/29/2003
3F4702	3F5A5F	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
3F5A60	3F5B09	PTR	No	No	"Pointers to dialogue (+3F0200, starts at 3F5B0A)"	4/29/2003
3F5B0A	3F6CFF	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
3F6D00	3F6E73	PTR	No	No	"Pointers to dialogue (+3F0200, starts at 3F6E74)"	4/29/2003
3F6E74	3F85FF	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
3F8600	3F864D	PTR	No	No	"Pointers to dialogue (+3F0200, starts at 3F864E)"	4/29/2003
3F864E	3F8E02	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
3F8E03			No	No		4/29/2003
3F8E60	3F9E5F	GFX	No	No	Font (2 bit plane)	5/1/2003
3F9E60	3F9E7F	PAL	No	No	Unknown palette (likely font or menu related)	5/1/2003
3F9E80			No	No		5/1/2003
3F9E90	3FB40F	GFX	No	No	"Menu graphics (backgrounds, selectors, etc)"	5/1/2003
3FB410			No	No		5/1/2003
3FCBFC	3FCD9B	GFX	No	No	Partial font (2 bit plane)	5/6/2003
3FCD9C			No	No		5/1/2003
3FD13B	3FD148	PTR	No	No	"Pointers to menu text (+3F0200, starts at 3FD149)"	4/29/2003
3FD149	3FD223	TXT	No	No	Menu text (Huffman compressed)	4/29/2003
3FD224			No	No		4/29/2003
3FD23E	3FD273	PTR	No	No	"Pointers to chapter titles (+3F0200, starts at 3FD274)"	4/29/2003
3FD274	3FD495	TXT	No	No	Chapter titles (Huffman compressed)	4/29/2003
3FD496			No	No		4/29/2003
3FD596	3FD5A5	PTR	No	No	"Pointers to age names (+3F0200, starts at 3FD5A6)"	4/29/2003
3FD5A6	3FD5FD	TXT	No	No	Age names (Huffman compressed)	4/29/2003
3FD5FE	3FD662	PTR	No	No	"Pointers to settings text (+3F0200, starts at 3FD662), 1 wasted byte"	4/29/2003
3FD663	3FD761	TXT	No	No	Settings text (Huffman compressed)	4/29/2003
3FD762			No	No		4/29/2003
3FD7E4	3FDDE3	GFX	No	No	Magic type graphics	5/1/2003
3FDDE4			No	No		5/1/2003
3FE760	3FEADF	GFX	No	No	Character save portraits (4 bit plane)	5/1/2003
3FEAE0			No	No		5/1/2003
3FED88	3FF207	GFX	No	No	Epoch portrait (naming screen)	5/1/2003
3FF208	3FF687	GFX	No	No	"""Battle Mode"""	5/1/2003
3FF688			No	No		5/1/2003
3FFA13	3FFBFA	CODE	No	NA	Unknown routines	5/6/2003
3FFBFB			No	No		5/6/2003
3FFDD3	3FFE56	CODE	No	NA	Unknown routines	5/6/2003
3FFE57			No	No		5/6/2003
4001FF	4001FF	???	No	No	End of File (likely data)	4/22/2003
